,Unnamed: 0,Litres,PDF,Wiki,Имя,Short name,Отчество,Фамилия,Название,Ссылка,Score,Авт. Права,Дата смерти,Wiki id,Авт. права wiki
34,34,0,0,1,Г.,Г,Р.,Державин,Памятник,ru.wikisource.org/wiki/%D0%9F%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_(%D0%94%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D0%B8%D0%BD),1,0,"(8, 7, 1816)",Q270275,0
35,35,0,0,1,Г.,Г,Р.,Державин,Река времён в своём стремленьи,ru.wikisource.org/wiki/%D0%A0%D0%B5%D0%BA%D0%B0_%D0%B2%D1%80%D0%B5%D0%BC%D1%91%D0%BD_%D0%B2_%D1%81%D0%B2%D0%BE%D1%91%D0%BC_%D1%81%D1%82%D1%80%D0%B5%D0%BC%D0%BB%D0%B5%D0%BD%D1%8C%D0%B8,1,0,"(8, 7, 1816)",Q270275,0
36,36,0,0,1,Н.,Н,М.,Карамзин,Осень,ru.wikisource.org/wiki/%D0%9E%D1%81%D0%B5%D0%BD%D1%8C_(%D0%9A%D0%B0%D1%80%D0%B0%D0%BC%D0%B7%D0%B8%D0%BD),1,0,"(22, 5, 1826)",Q191598,0
37,37,0,0,1,И.,И,А.,Крылов,Ворона и Лисица,ru.wikisource.org/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%BD%D0%B0_%D0%B8_%D0%9B%D0%B8%D1%81%D0%B8%D1%86%D0%B0_(%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2),1,0,"(9, 11, 1844)",Q191480,0
38,38,0,0,1,И.,И,А.,Крылов,Квартет,ru.wikisource.org/wiki/%D0%9A%D0%B2%D0%B0%D1%80%D1%82%D0%B5%D1%82,1,0,"(9, 11, 1844)",Q191480,0
39,39,0,0,1,И.,И,А.,Крылов,"Лебедь, рак и щука","ru.wikisource.org/wiki/%D0%9B%D0%B5%D0%B1%D0%B5%D0%B4%D1%8C,_%D0%A9%D1%83%D0%BA%D0%B0_%D0%B8_%D0%A0%D0%B0%D0%BA_(%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2)",1,0,"(9, 11, 1844)",Q191480,0
40,40,0,0,1,И.,И,А.,Крылов,Свинья под дубом,ru.wikisource.org/wiki/%D0%A1%D0%B2%D0%B8%D0%BD%D1%8C%D1%8F_%D0%BF%D0%BE%D0%B4_%D0%B4%D1%83%D0%B1%D0%BE%D0%BC,1,0,"(9, 11, 1844)",Q191480,0
41,41,0,0,1,И.,И,А.,Крылов,Волк и Ягнёнок,ru.wikisource.org/wiki/%D0%92%D0%BE%D0%BB%D0%BA_%D0%B8_%D0%AF%D0%B3%D0%BD%D1%91%D0%BD%D0%BE%D0%BA_(%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2),1,0,"(9, 11, 1844)",Q191480,0
42,42,0,0,1,И.,И,А.,Крылов,Демьянова уха,ru.wikisource.org/wiki/%D0%94%D0%B5%D0%BC%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D0%B0_%D1%83%D1%85%D0%B0,1,0,"(9, 11, 1844)",Q191480,0
43,43,0,0,1,И.,И,А.,Крылов,Лжец,ru.wikisource.org/wiki/%D0%9B%D0%B6%D0%B5%D1%86,1,0,"(9, 11, 1844)",Q191480,0
