,Litres,PDF,Wiki,Имя,Название,Отчество,Ссылка,Фамилия,Short name,Score
48,0,0,1,И.,"Лягушки, просящие царя",А.,"ru.wikisource.org/wiki/%D0%9B%D1%8F%D0%B3%D1%83%D1%88%D0%BA%D0%B8,_%D0%BF%D1%80%D0%BE%D1%81%D1%8F%D1%89%D0%B8%D0%B5_%D1%86%D0%B0%D1%80%D1%8F",Крылов,И,1
49,0,0,1,И.,Слон и Моська,А.,ru.wikisource.org/wiki/%D0%A1%D0%BB%D0%BE%D0%BD_%D0%B8_%D0%9C%D0%BE%D1%81%D1%8C%D0%BA%D0%B0,Крылов,И,1
50,0,0,1,И.,Петух и Жемчужное зерно,А.,ru.wikisource.org/wiki/%D0%9F%D0%B5%D1%82%D1%83%D1%85_%D0%B8_%D0%96%D0%B5%D0%BC%D1%87%D1%83%D0%B6%D0%BD%D0%BE%D0%B5_%D0%B7%D0%B5%D1%80%D0%BD%D0%BE,Крылов,И,1
51,0,0,1,Я.,По горам две хмурых тучи,П.,ru.wikisource.org/wiki/%D0%9F%D0%BE_%D0%B3%D0%BE%D1%80%D0%B0%D0%BC_%D0%B4%D0%B2%D0%B5_%D1%85%D0%BC%D1%83%D1%80%D1%8B%D1%85_%D1%82%D1%83%D1%87%D0%B8,Полонский,Я,1
52,0,0,1,В.,Светлана,А.,ru.wikisource.org/wiki/%D0%A1%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D0%BD%D0%B0_(%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9),Жуковский,В,1
53,0,0,1,В.,Кубок,А.,ru.wikisource.org/wiki/%D0%9A%D1%83%D0%B1%D0%BE%D0%BA_(%D0%A8%D0%B8%D0%BB%D0%BB%D0%B5%D1%80;_%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9),Жуковский,В,1
54,0,0,1,В.,Спящая царевна,А.,ru.wikisource.org/wiki/%D0%A1%D0%BF%D1%8F%D1%89%D0%B0%D1%8F_%D1%86%D0%B0%D1%80%D0%B5%D0%B2%D0%BD%D0%B0_(%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9),Жуковский,В,1
55,0,0,1,В.,Лесной царь,А.,ru.wikisource.org/wiki/%D0%9B%D0%B5%D1%81%D0%BD%D0%BE%D0%B9_%D1%86%D0%B0%D1%80%D1%8C_(%D0%93%D1%91%D1%82%D0%B5;_%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9),Жуковский,В,1
56,0,0,1,В.,Перчатка,А.,ru.wikisource.org/wiki/%D0%9F%D0%B5%D1%80%D1%87%D0%B0%D1%82%D0%BA%D0%B0_(%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9),Жуковский,В,1
57,0,0,1,В.,Сельское кладбище,А.,"ru.wikisource.org/wiki/%D0%A1%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B5_%D0%BA%D0%BB%D0%B0%D0%B4%D0%B1%D0%B8%D1%89%D0%B5_(%D0%93%D1%80%D0%B5%D0%B9;_%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_1839)",Жуковский,В,1
58,0,0,1,В.,Приход весны,А.,ru.wikisource.org/wiki/%D0%9F%D1%80%D0%B8%D1%85%D0%BE%D0%B4_%D0%B2%D0%B5%D1%81%D0%BD%D1%8B_(%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9),Жуковский,В,1
59,0,1,1,А.,Горе от ума,С.,ru.wikisource.org/wiki/%D0%93%D0%BE%D1%80%D0%B5_%D0%BE%D1%82_%D1%83%D0%BC%D0%B0_(%D0%93%D1%80%D0%B8%D0%B1%D0%BE%D0%B5%D0%B4%D0%BE%D0%B2),Грибоедов,А,2
60,0,0,1,А.,Косарь,В.,ru.wikisource.org/wiki/%D0%9A%D0%BE%D1%81%D0%B0%D1%80%D1%8C_(%D0%9A%D0%BE%D0%BB%D1%8C%D1%86%D0%BE%D0%B2),Кольцов,А,1
61,0,0,1,А.,Разлука,В.,ru.wikisource.org/wiki/%D0%A0%D0%B0%D0%B7%D0%BB%D1%83%D0%BA%D0%B0_(%D0%9A%D0%BE%D0%BB%D1%8C%D1%86%D0%BE%D0%B2),Кольцов,А,1
62,0,0,1,Е.,"Весна, весна!..",А.,"ru.wikisource.org/wiki/%D0%92%D0%B5%D1%81%D0%BD%D0%B0,_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0!..",Боратынский,Е,1
63,0,0,1,Е.,Чудный град,А.,ru.wikisource.org/wiki/%D0%A7%D1%83%D0%B4%D0%BD%D1%8B%D0%B9_%D0%B3%D1%80%D0%B0%D0%B4_%D0%BF%D0%BE%D1%80%D0%BE%D0%B9_%D1%81%D0%BE%D0%BB%D1%8C%D1%91%D1%82%D1%81%D1%8F_(%D0%91%D0%BE%D1%80%D0%B0%D1%82%D1%8B%D0%BD%D1%81%D0%BA%D0%B8%D0%B9),Боратынский,Е,1
64,0,0,1,А.,"Повести Белкина
Метель
Станционный смотритель
Выстрел
Гробовщик
Барышня-крестьянка",С.,ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D0%B8_%D0%91%D0%B5%D0%BB%D0%BA%D0%B8%D0%BD%D0%B0,Пушкин,А,1
65,0,0,1,А.,Метель,С.,ru.wikisource.org/wiki/%D0%9C%D0%B5%D1%82%D0%B5%D0%BB%D1%8C_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD),Пушкин,А,1
66,1,0,1,А.,Станционный смотритель,С.,ru.wikisource.org/wiki/%D0%A1%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B9_%D1%81%D0%BC%D0%BE%D1%82%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,Пушкин,А,2
67,0,0,1,А.,Выстрел,С.,ru.wikisource.org/wiki/%D0%92%D1%8B%D1%81%D1%82%D1%80%D0%B5%D0%BB,Пушкин,А,1
68,0,0,1,А.,Гробовщик,С.,ru.wikisource.org/wiki/%D0%93%D1%80%D0%BE%D0%B1%D0%BE%D0%B2%D1%89%D0%B8%D0%BA,Пушкин,А,1
69,0,0,1,А.,Барышня-крестьянка,С.,ru.wikisource.org/wiki/%D0%91%D0%B0%D1%80%D1%8B%D1%88%D0%BD%D1%8F-%D0%BA%D1%80%D0%B5%D1%81%D1%82%D1%8C%D1%8F%D0%BD%D0%BA%D0%B0,Пушкин,А,1
70,1,0,1,А.,Дубровский,С.,ru.wikisource.org/wiki/%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,Пушкин,А,2
71,1,1,1,А.,Капитанская дочка,С.,ru.wikisource.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B4%D0%BE%D1%87%D0%BA%D0%B0,Пушкин,А,3
72,0,1,1,А.,Руслан и Людмила,С.,ru.wikisource.org/wiki/%D0%A0%D1%83%D1%81%D0%BB%D0%B0%D0%BD_%D0%B8_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0,Пушкин,А,2
73,0,0,1,А.,Полтава,С.,ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%BB%D1%82%D0%B0%D0%B2%D0%B0,Пушкин,А,1
74,1,0,1,А.,Медный всадник,С.,ru.wikisource.org/wiki/%D0%9C%D0%B5%D0%B4%D0%BD%D1%8B%D0%B9_%D0%B2%D1%81%D0%B0%D0%B4%D0%BD%D0%B8%D0%BA_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD),Пушкин,А,2
75,1,1,1,А.,Евгений Онегин,С.,ru.wikisource.org/wiki/%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%9E%D0%BD%D0%B5%D0%B3%D0%B8%D0%BD,Пушкин,А,3
76,1,1,1,А.,Борис Годунов,С.,ru.wikisource.org/wiki/%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%93%D0%BE%D0%B4%D1%83%D0%BD%D0%BE%D0%B2_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD),Пушкин,А,3
77,0,0,1,А.,Пушкину,С.,ru.wikisource.org/wiki/%D0%92._%D0%9B._%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D1%83_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD),Пушкин,А,1
78,0,0,1,А.,Зимнее утро,С.,ru.wikisource.org/wiki/%D0%97%D0%B8%D0%BC%D0%BD%D0%B5%D0%B5_%D1%83%D1%82%D1%80%D0%BE,Пушкин,А,1
79,0,0,1,А.,Зимний вечер,С.,ru.wikisource.org/wiki/%D0%97%D0%B8%D0%BC%D0%BD%D0%B8%D0%B9_%D0%B2%D0%B5%D1%87%D0%B5%D1%80,Пушкин,А,1
80,0,0,1,А.,Узник,С.,ru.wikisource.org/wiki/%D0%A3%D0%B7%D0%BD%D0%B8%D0%BA_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD),Пушкин,А,1
81,0,0,1,А.,Песнь о вещем Олеге,С.,ru.wikisource.org/wiki/%D0%9F%D0%B5%D1%81%D0%BD%D1%8C_%D0%BE_%D0%B2%D0%B5%D1%89%D0%B5%D0%BC_%D0%9E%D0%BB%D0%B5%D0%B3%D0%B5,Пушкин,А,1
82,0,0,1,А.,Я вас любил,С.,ru.wikisource.org/wiki/%D0%AF_%D0%B2%D0%B0%D1%81_%D0%BB%D1%8E%D0%B1%D0%B8%D0%BB_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD),Пушкин,А,1
83,0,0,1,А.,Я помню чудное мгновенье,С.,ru.wikisource.org/wiki/%D0%9A_***_%D0%9A%D0%B5%D1%80%D0%BD_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD),Пушкин,А,1
84,0,0,1,А.,Анчар,С.,ru.wikisource.org/wiki/%D0%90%D0%BD%D1%87%D0%B0%D1%80,Пушкин,А,1
85,0,0,1,А.,Вновь я посетил,С.,ru.wikisource.org/wiki/%D0%92%D0%BD%D0%BE%D0%B2%D1%8C_%D1%8F_%D0%BF%D0%BE%D1%81%D0%B5%D1%82%D0%B8%D0%BB,Пушкин,А,1
86,0,0,1,А.,Птичка,С.,ru.wikisource.org/wiki/%D0%9F%D1%82%D0%B8%D1%87%D0%BA%D0%B0_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD),Пушкин,А,1
